Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.0,45.588135,,,,11.272073,70.35606,6.3402658,,0.5006804,,,16.320673,5.3732705,,,,0.06028636,,,,92.096725,,,,,,66.15123,56.89233,78.84615,22.495691,,,,,,62.77781,,,,,,0.0,2.8750367,3.3300512,,,0.10191111,,5.263158,71.939445,30.237823,,,24.720701,0.0,,24.97134,,,17.97452,,,1.3265166,,,,,,,,,10.1117525,,,,,,,0.0,,,,0.5784877,16.901121,27.798811,6.927201,15.158679,2.9085016,95.4524,0.012960588,22.123398,,,12.333303,6.4118633,,,,,,5.0823493,0.0,,,,,,97.18459,,1.8763793,7.4129567,60.04184,,6.6167464,,,,29.547886,,,,,,,,,,,,,25.216927,,,,,,0.0047637955,99.11997,,,69.23546,0.0,,20.020542,45.1829,,77.46677,24.391636,,1.344816,,,56.57672,,,,0.0,,17.70169,16.603529,,0.0,,,0.0,,,,,,,,,,,9.406381,,51.76316,,,,,,,16.026957,,0.027304996,,,0.0,,35.199554,10.8018,,,3.9384654,,10.807909,11.329905,,47.89173,,,29.137897,,,,0.4348705,,
1986,,,,,0.0,42.89944,,,,10.828476,70.27293,3.7337797,,0.5845661,,,9.374999,5.561932,,,,0.05512375,,,,90.24885,,,,,,66.292274,57.315796,79.82456,21.032778,,,,,,67.396454,,,,,,0.0,3.0954032,3.54727,,,0.09290816,,1.9258916,80.04788,27.639322,,,20.612022,0.0,,25.31237,,,17.213161,,,1.5837792,,,,,,,,,11.456599,,,,,,,0.0,,,,0.54913706,24.190905,25.937187,7.2618556,16.711706,2.6921525,94.67594,0.037420012,21.367441,,,11.948614,5.6194215,,,,,,4.4630504,0.0,,,,,,99.75111,,1.7152382,8.437101,57.885277,,8.281814,,,,21.385202,,,,,,,,,,,,,25.54464,,,,,,0.00446628,98.886765,,,75.30292,0.0,,19.704493,38.499657,,77.695404,28.687899,,1.1041099,,,41.82756,,,,0.0,,14.322055,16.410122,,0.0,,,0.0,,,,,,,,,,,6.930652,,43.947033,,,,,,,22.422955,,0.024201356,,,0.0,,29.90971,9.834018,,,3.9072874,,11.097251,8.852183,,50.20554,,,25.456848,,,,1.0948389,,
1987,,,,,0.0,42.04624,,,,10.02378,71.2204,3.5109818,,0.6770085,,,9.253625,5.835806,,,,0.053400263,,,,91.279526,,,,,,63.70013,58.048653,82.00422,20.114803,,,,,,69.02428,,,,,,0.0,3.9632773,3.820692,,,0.09969714,,3.9223392,84.881134,25.156712,,,20.64064,0.0,,26.022257,,,18.6263,,,1.3858436,,,,,,,,,9.183404,,,,,,,0.0,,,,0.5680863,22.11833,21.890572,5.2523727,17.344992,11.550422,94.267075,0.056570683,19.617922,,,10.4003,6.4775248,,,,,,4.941189,0.0,,,,,,80.41519,,1.5925766,9.657233,62.304832,,10.311211,,,,18.165236,,,,,,,,,,,,,28.505014,,,,,,0.0014609632,99.03149,,,73.702995,0.0,,19.054102,45.04877,,77.66672,23.173748,,1.1389741,,,45.458157,,,,0.0,,15.131143,15.518747,,0.0,,,0.0,,,,,,,,,,,8.1763935,,49.02334,,,,,,,14.195722,,0.022612497,,,0.0,,41.97651,7.9633217,,,3.4083545,,9.21325,12.365118,,56.97739,,,22.872252,,,,1.0612116,,
1988,,,,,0.0,29.065302,,,,9.997939,73.32258,2.9622653,,0.54935807,,,10.319524,5.7661977,,,,0.052424636,,,,92.62171,,,,,,60.756012,59.13046,74.24179,20.023113,,,,,,69.120804,,,,,,0.0,3.2626605,3.6541736,,,0.11685281,,1.3103251,85.552216,22.806587,,,25.400866,0.0,,24.981073,,,19.516577,,,1.5816724,,,,,,,,,7.085105,,,,,,,0.0,,,,0.5781138,20.291437,22.633194,6.5939674,17.555887,11.0874195,94.294655,0.051672906,19.982216,,,11.979255,7.907406,,,,,,2.1343105,0.0,,,,,,92.79231,,1.4787992,6.8964324,58.723534,,10.418522,,,,19.45643,,,,,,,,,,,,,29.603834,,,,,,0.0028713357,98.943825,,,73.8677,0.0,,18.835106,42.20439,,76.911156,25.526712,,1.242206,,,54.39548,,,,0.0,,19.617111,15.103107,,0.0,,,0.0,,,,,,,,,,,7.6175184,,47.789787,,,,,,,11.471146,,0.02327205,,,0.0,,60.250412,6.128758,,,4.0149326,,7.8362975,14.1606,,58.722637,,,26.396463,,,,1.9994813,,
1989,,,,,0.0,25.927378,,,,9.412525,71.37103,2.9968464,,0.4515375,,,12.930429,6.0702443,,,,0.0519629,,,,92.311226,,,,,,58.312397,54.52208,59.193756,20.247427,,,,,,72.34343,,,,,,0.0,2.5226085,3.2585478,,,0.099853836,,1.4748107,85.872765,23.358654,,,13.157705,0.0,,24.420065,,,11.519573,,,1.515743,,,,,,,,,5.514279,,,,,,,0.0,,,,0.5338559,22.045029,23.259537,5.044459,13.089382,10.896898,94.144966,0.014667559,16.159904,,,11.470937,8.13323,,,,,,2.860322,0.0,,,,,,98.01603,,1.3186357,5.075943,62.16567,,12.821364,,,,21.120195,,,,,,,,,,,,,24.60873,,,,,,0.050628755,99.33136,,,71.93973,0.0,,17.906967,40.749832,,76.54258,25.358778,,1.1061156,,,22.54727,,,,0.0,,18.032722,14.837524,,0.0,,,0.0,,,,,,,,,,,8.151226,,50.142914,,,,,,,14.756925,,0.020678246,,,0.0,,34.470592,5.7858467,,,3.430161,,8.70634,9.847429,,60.16314,,,49.30627,,,,1.6889184,,
1990,,,,,0.0,34.728382,,,,9.482279,63.953724,7.1613684,,0.38412294,,,11.433006,3.8902147,,,,0.0505996,,,,92.769,,,,,,61.524654,53.19579,48.6,20.403086,,,,,,71.892654,,,,,,0.0,1.8628552,3.2143252,,,0.115651496,,0.83830106,78.544685,23.724451,,,16.849695,0.0,,19.977924,,,12.669455,,,1.6012509,,,,,,,,,5.1754384,,,,,,,0.0,,44.494892,,0.6329114,19.605904,23.073538,4.9261084,12.802012,16.389647,93.399796,0.014355715,14.839315,,,9.857629,8.429943,,,,,,3.9540055,0.0,,,,,,99.841255,,1.4436619,11.290322,67.669174,,12.671375,,,,20.818626,8.521739,,0.0,,,,,,,,,,17.495173,,,,,,0.12729846,99.62171,,,71.089264,0.0,,18.046545,37.15429,,75.81837,23.025791,,1.0711895,,,32.26262,,,,0.0,,17.744944,15.417263,,0.0,,,0.0,,,,,,,19.219912,,,,7.3754416,23.713827,49.664337,,,,,,,11.108209,,0.020533882,,,0.0,,40.23288,7.0749865,,,3.4949455,,9.041164,11.802929,,62.34386,,,61.847713,,,,0.6039731,,
1991,,,,,0.0,29.467028,,,,9.909568,62.67943,7.502506,,0.32307908,,,10.13301,5.5787663,,,,0.0464696,,,,92.91981,,,,,,60.60732,55.25171,65.8,18.402916,,,,,,69.10183,,,,,,0.0,1.8076286,2.7778814,,,0.08230452,,1.6892477,72.77874,22.913393,,,17.6136,0.0,,22.774326,,,12.506106,,,1.4060951,,,,,,,,,8.80932,,,,,,,0.0,,64.45222,,0.63417894,19.4453,23.066664,5.030181,8.926353,16.057545,93.864296,0.02788869,19.338005,,,10.36055,8.373067,,,,,,2.648646,0.0,,,,,,92.286285,,1.1576438,11.428572,58.053097,,13.318848,,,,17.597464,14.73137,,0.0,,,,,,,,,,16.756989,,,,,,0.1365747,99.61107,,,68.05898,0.0,,18.06946,36.40593,,79.353676,20.059261,,1.0699216,,,30.38358,,,,0.0,,25.68662,15.736732,,0.0,,,0.0,,,,,,,25.40483,,,,5.812036,28.335949,43.02919,,,,,,,8.989056,,0.020062193,,,0.0,,37.649403,3.8856053,,,4.1821427,,8.784782,11.134497,,70.3254,,,68.58849,,,,1.1763588,,
1992,,,,,0.0,34.15805,,,,9.876983,69.853676,8.841448,,0.47605714,,,8.949854,5.361174,,,,0.04521878,,,,92.38137,,,,,,60.77099,54.947575,74.9,17.333752,,,,,,60.854134,,,,,,0.0,2.370872,3.2598307,,,0.09803921,,1.0882643,69.11565,21.784071,,,12.077881,0.0,,26.187174,,,14.716274,,,1.666459,,,,,,,,,5.9847665,,,,,,,0.0,,48.876404,,0.5050505,23.943491,20.780085,5.2030454,13.700914,23.818045,94.83089,0.11747454,18.950962,,,8.731145,8.255777,,,,,,2.1151757,0.0,,,,,,81.92502,,1.6711591,10.60606,65.625,,9.9187155,,,,20.27107,14.003295,,0.0,,,,,,,,,,13.657899,,,,,,0.15822785,99.62428,,,63.51114,0.0,,17.900799,37.227722,,73.83783,17.162737,,1.1554945,,,15.637721,,,,0.0,,21.662655,17.114779,,0.0,,,0.0,,,,,,,26.7269,,,,8.347676,27.714748,50.935383,,,,,,,7.292784,,0.031859696,,,0.0,,39.45063,6.212459,,,3.1030953,,7.6551714,12.337216,,70.093414,,,74.47707,,,,0.4473794,,
1993,,,,,0.0,38.41729,,,,9.908545,71.5455,12.73424,,0.35673514,,,6.6043878,4.730444,,,,0.056939073,,,,93.2786,,,,,,60.768456,58.128235,71.7,18.709713,,,,,,66.816185,,,,,,0.0,2.3350947,3.4337072,,,0.088809945,,1.8182755,78.39561,21.59424,,,15.742651,0.0,,22.076645,,,13.523618,,,1.3308163,,,,,,,,,6.042937,,,,,,,0.0,,47.693924,,0.5165603,22.391476,19.529856,4.7146397,14.103045,22.745764,94.487206,0.10000116,18.849548,,,9.996728,9.794708,,,,,,2.6111946,0.0,,,,,,95.40805,,2.7997127,10.447761,73.28245,,4.470232,,,,19.796816,10.03861,,0.0,,,,,,,,,,13.914475,,,,,,0.11860834,99.59071,,,67.86789,0.0,,18.582016,38.471695,,79.6799,18.924715,,1.1306723,,,27.626461,,,,0.0,,23.067198,18.219881,,0.0,,,0.0,,,,,,,26.902538,,,,14.428275,25.439331,51.390614,,,,,,,5.703589,,0.03956698,,,0.0,,45.99648,3.5665073,,,4.7717843,,8.201979,14.970803,,68.42985,,,74.70456,,,,0.083569,,
1994,,,,,0.0,41.581577,,,,9.4920435,68.73917,10.414889,,0.49060836,,,8.656991,3.422854,,,,0.060515337,,,,93.333534,,,,,,59.28084,59.080677,67.200005,18.045805,,,,,,71.202446,,,,,,0.0,2.5,3.824969,,,0.0742942,,0.83488405,80.61493,22.096807,,,17.629065,0.0,,17.967083,,,16.290922,,,1.5678588,,,,,,,,,6.4967513,,,,,,,0.0,,62.128147,,0.47732696,17.381264,20.674984,5.4794517,8.51316,23.432074,94.479805,0.08122702,19.523497,,,6.5477357,13.74575,,,,,,1.2794617,0.0,,,,,,93.21542,,4.6106553,15.254238,74.549545,,7.323452,,,,13.872345,11.616161,,0.0,,,,,,,,,,16.307709,,,,,,0.1277792,99.394585,,,73.410164,0.0,,18.229515,37.16468,,80.341606,19.245543,,1.2979219,,,34.222363,,,,0.0,,23.71003,20.084848,,0.0,,,0.0,,,,,,,28.942245,,,,17.11818,26.377037,41.415558,,,,,,,6.193321,,0.038022812,,,0.0,,39.052727,4.061083,,,5.935939,,7.4986076,14.970712,,72.00685,,,75.21973,,,,0.59111667,,
1995,,,,,0.0,39.458057,,,,8.920556,67.33878,9.129312,,0.4624592,,,3.442532,5.210084,,,,0.080263264,,,,92.12764,,,,,,59.881424,55.949844,65.7,18.924957,,,,,,67.36955,,,,,,0.0,3.3014195,4.1038594,,,0.08201202,,0.97895,61.226696,22.095871,,,13.981946,0.0,,20.203125,,,14.574692,,,1.3781044,,,,,,,,,8.622375,,,,,,,0.0,,61.471863,,0.47031155,15.323465,17.773872,4.040979,9.866869,26.86892,93.99762,0.08213688,15.91608,,,7.7944956,12.482957,,,,,,1.3559179,0.0,,,,,,94.03553,,2.7366862,18.367348,73.68421,,5.0529275,,,,18.355513,13.0505705,,0.0,,,,,,,,,,13.350653,,,,,,0.11281023,99.41104,,,75.62468,0.0,,18.557865,35.681023,,76.6441,18.573046,,1.3790587,,,25.311455,,,,0.0,,28.264185,20.494148,,0.0,,,0.0,,,,,,,30.764448,,,,18.463867,25.1938,45.926624,,,,,,,8.268424,,0.040383648,,,0.0,,41.21058,3.635503,,,5.090555,,8.724164,13.040272,,70.05147,,,72.24194,,,,0.28341055,,
1996,,,,,0.0,32.212936,,,,8.865134,64.02245,8.996196,,0.31940377,,,6.4406486,6.771322,,,,0.06743088,,,,91.24116,,,,,,62.03266,50.146183,54.8,17.383543,,,,,,72.95184,,,,,,0.0,3.086323,4.005618,,,0.037467215,,0.65362644,65.53657,21.437372,,,22.972115,0.0,,17.111528,,,12.7355795,,,0.9690199,,,,,,,,,10.315391,,,,,,,0.0,,70.55655,,0.5984611,14.990158,15.581385,3.8155804,9.821708,24.977062,93.166115,0.0736888,17.561302,,,7.493564,12.478934,,,,,,1.0734571,0.0,,,,,,71.818214,,2.0320199,13.333333,59.615387,,15.60855,,,,20.011553,12.801206,,0.0,,,,,,,,,,9.7061615,,,,,,0.09515879,99.207184,,,71.14074,0.0,,18.24155,36.70133,,77.10506,19.15166,,1.3669523,,,43.128654,,,,0.0,,25.823366,18.214365,,0.0,,,0.0,,,,,,,35.530792,,,,16.614298,28.122606,36.796814,,,,,,,8.293903,,0.049358338,,,0.0,,42.66737,3.3410623,,,4.684616,,9.487109,14.366235,,71.2375,,,70.868744,,,,0.65919673,,
1997,,,,,0.0,38.536728,,,,8.441392,64.957726,10.168686,,0.39804828,,,6.063417,6.387975,,,,0.08059255,,,,90.58115,,,,,,60.92161,54.126118,56.899998,17.258596,,,,,,63.06966,,,,,,0.0,2.6475627,3.177334,,,0.045310374,,0.34888592,63.06056,20.729431,,,18.373606,0.0,,17.710896,,,12.439166,,,1.254741,,,,,,,,,9.063303,,,,,,,0.0,,57.29677,,0.6214689,8.297546,14.965465,3.4605598,6.125816,24.755814,93.22127,0.071202755,16.876266,,,8.194422,12.498077,,,,,,1.141174,0.0,,,,,,67.016136,,2.0847812,19.512196,65.410194,,15.324063,,,,15.809501,13.372956,,0.0,,,,,,,,,,6.962513,,,,,,0.10575794,99.34841,,,62.11544,0.0,,18.128866,29.523497,,73.60445,15.249892,,1.3906627,,,38.654472,,,,0.0,,30.870945,18.874016,,0.0,,,0.0,,,,,,,29.838024,,,,16.214056,23.444613,46.283756,,,,,,,7.6428905,,0.05264266,,,0.0,,38.547916,3.4856853,,,5.504075,,9.578497,12.54397,,73.358444,,,60.929333,,,,0.9944762,,
1998,,,,,0.0,35.69592,,,,7.9199486,66.57112,10.8419,,0.47508833,,,6.714796,7.4118786,,,,0.119189516,,,,90.589096,,,,,,58.87456,52.893826,44.9,17.042845,,,,,,61.21671,,,,,,0.0,2.1665118,3.135127,,,0.07331379,,0.9242542,59.74183,19.942501,,,17.575884,0.0,,21.466267,,,12.011543,,,1.4115961,,,,,,,,,8.140043,,,,,,,0.0,,52.62238,,0.4301075,13.513018,16.558365,4.41247,7.313571,23.174026,89.49973,0.065830365,16.2501,,,8.406352,12.331326,,,,,,1.8041589,0.0,,,,,,68.98116,,2.4489796,32.43243,74.48276,,13.70296,,,,13.582827,15.319149,,0.0,,,,,,,,,,6.9487243,,,,,,0.12305627,99.381546,,,67.0252,0.0,,17.786032,36.30915,,74.30808,12.184328,,1.6409745,,,33.496773,,,,0.0,,35.62936,19.161634,,0.0,,,0.0,,,,,,,29.293215,,,,16.595413,25.145773,47.232197,,,,,,,5.683738,,0.06372132,,,0.0,,38.038193,3.7995086,,,9.080944,,8.353353,12.5446615,,71.594734,,,51.157326,,,,0.77663195,,
