Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2006,0.0,6.0,4.0,12.0,8.0,10.0,6.0,13.0,10.0,11.0,11.0,9.0,9.0,0.0,12.0,6.0,10.0,5.0,9.0,9.0,12.0,9.0,9.0,8.0,13.0,8.0,8.0,11.0,0.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,10.0,10.0,6.0,6.0,11.0,9.0,9.0,12.0,10.0,9.0,13.0,10.0,12.0,9.0,9.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,9.0,10.0,6.0,9.0,9.0,5.0,9.0,12.0,16.0,,6.0,9.0,9.0,8.0,6.0,13.0,9.0,0.0,10.0,8.0,6.0,10.0,11.0,12.0,6.0,10.0,9.0,9.0,8.0,9.0,0.0,0.0,12.0,9.0,9.0,5.0,9.0,6.0,9.0,10.0,9.0,9.0,0.0,10.0,11.0,11.0,10.0,9.0,,9.0,5.0,7.0,11.0,9.0,9.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,7.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,0.0,10.0,10.0,0.0,12.0,11.0,12.0,10.0,12.0,0.0,10.0,16.0,11.0,9.0,9.0,10.0,9.0,,10.0,9.0,6.0,9.0,6.0,11.0,6.0,,0.0,9.0,9.0,10.0,0.0,8.0,,6.0,6.0,10.0,9.0,9.0,0.0,12.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,9.0,6.0,6.0,6.0,9.0,8.0,0.0,7.0,0.0,11.0,9.0,12.0,11.0,12.0,14.0,12.0,9.0,0.0,8.0,9.0,9.0,7.0,7.0
2007,0.0,6.0,6.0,12.0,8.0,10.0,6.0,13.0,10.0,11.0,11.0,9.0,9.0,0.0,12.0,6.0,10.0,5.0,9.0,9.0,12.0,9.0,9.0,8.0,13.0,8.0,8.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,10.0,10.0,6.0,6.0,11.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,9.0,9.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,9.0,12.0,16.0,,6.0,9.0,9.0,8.0,6.0,13.0,9.0,0.0,10.0,8.0,6.0,10.0,11.0,12.0,6.0,10.0,9.0,9.0,8.0,9.0,0.0,0.0,12.0,9.0,9.0,5.0,9.0,6.0,9.0,10.0,9.0,9.0,0.0,10.0,11.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,11.0,9.0,9.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,7.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,0.0,10.0,10.0,0.0,12.0,11.0,12.0,10.0,12.0,0.0,10.0,16.0,11.0,9.0,9.0,10.0,9.0,,10.0,9.0,6.0,9.0,6.0,11.0,6.0,,0.0,9.0,9.0,10.0,0.0,8.0,,6.0,6.0,10.0,9.0,9.0,0.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,9.0,6.0,6.0,6.0,9.0,8.0,0.0,7.0,0.0,11.0,9.0,12.0,11.0,12.0,14.0,12.0,9.0,0.0,8.0,9.0,9.0,7.0,7.0
2008,0.0,9.0,6.0,12.0,8.0,10.0,6.0,13.0,10.0,11.0,11.0,9.0,9.0,0.0,12.0,6.0,10.0,5.0,9.0,9.0,12.0,9.0,9.0,8.0,13.0,8.0,8.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,10.0,10.0,6.0,6.0,11.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,9.0,9.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,9.0,8.0,6.0,13.0,9.0,0.0,10.0,8.0,6.0,10.0,11.0,12.0,6.0,10.0,9.0,9.0,8.0,9.0,0.0,0.0,12.0,9.0,9.0,5.0,9.0,6.0,9.0,10.0,9.0,9.0,0.0,10.0,11.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,11.0,9.0,9.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,11.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,0.0,10.0,10.0,0.0,12.0,11.0,12.0,10.0,12.0,0.0,10.0,16.0,11.0,9.0,9.0,10.0,9.0,,10.0,9.0,6.0,9.0,6.0,11.0,6.0,,0.0,9.0,9.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,0.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,6.0,6.0,9.0,8.0,8.0,7.0,7.0,11.0,14.0,12.0,11.0,12.0,14.0,12.0,9.0,0.0,8.0,9.0,9.0,7.0,7.0
2009,0.0,9.0,6.0,12.0,8.0,10.0,6.0,13.0,10.0,11.0,11.0,9.0,9.0,0.0,12.0,6.0,10.0,5.0,9.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,8.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,11.0,10.0,6.0,6.0,11.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,9.0,9.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,9.0,8.0,6.0,13.0,9.0,8.0,10.0,8.0,6.0,10.0,13.0,12.0,6.0,10.0,9.0,9.0,8.0,9.0,0.0,0.0,12.0,9.0,9.0,5.0,9.0,6.0,9.0,10.0,9.0,9.0,0.0,10.0,12.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,11.0,9.0,9.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,0.0,10.0,10.0,0.0,12.0,11.0,12.0,10.0,12.0,0.0,10.0,13.0,11.0,12.0,9.0,10.0,9.0,,10.0,9.0,6.0,9.0,6.0,11.0,6.0,,0.0,9.0,9.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,0.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,6.0,6.0,9.0,8.0,8.0,7.0,7.0,11.0,14.0,12.0,11.0,12.0,14.0,12.0,9.0,0.0,8.0,9.0,9.0,7.0,7.0
2010,0.0,9.0,6.0,12.0,8.0,10.0,6.0,13.0,10.0,11.0,11.0,9.0,9.0,0.0,12.0,6.0,10.0,5.0,9.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,8.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,11.0,10.0,6.0,10.0,11.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,9.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,9.0,8.0,6.0,13.0,9.0,8.0,10.0,8.0,6.0,10.0,13.0,12.0,6.0,10.0,9.0,9.0,8.0,9.0,0.0,0.0,12.0,9.0,9.0,5.0,9.0,6.0,9.0,10.0,9.0,9.0,7.0,10.0,12.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,11.0,9.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,0.0,10.0,10.0,0.0,12.0,11.0,12.0,10.0,12.0,0.0,10.0,13.0,11.0,12.0,9.0,10.0,9.0,,10.0,9.0,6.0,9.0,8.0,11.0,6.0,,0.0,9.0,9.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,7.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,6.0,6.0,9.0,8.0,8.0,7.0,7.0,11.0,14.0,12.0,11.0,12.0,14.0,12.0,9.0,0.0,8.0,9.0,9.0,7.0,7.0
2011,13.0,9.0,6.0,12.0,8.0,10.0,6.0,13.0,11.0,11.0,11.0,10.0,9.0,0.0,12.0,6.0,10.0,5.0,10.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,8.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,11.0,10.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,9.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,12.0,8.0,6.0,13.0,9.0,8.0,10.0,8.0,6.0,10.0,13.0,12.0,6.0,10.0,9.0,9.0,8.0,9.0,0.0,0.0,12.0,9.0,9.0,5.0,9.0,6.0,9.0,10.0,9.0,9.0,7.0,10.0,12.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,11.0,9.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,0.0,14.0,10.0,0.0,12.0,11.0,12.0,10.0,12.0,0.0,10.0,13.0,11.0,12.0,13.0,10.0,9.0,,10.0,9.0,6.0,9.0,8.0,11.0,6.0,,0.0,9.0,9.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,7.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,6.0,6.0,9.0,8.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,14.0,12.0,9.0,0.0,8.0,9.0,9.0,7.0,7.0
2012,13.0,9.0,6.0,12.0,9.0,10.0,12.0,13.0,12.0,11.0,11.0,10.0,9.0,0.0,12.0,6.0,10.0,5.0,10.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,8.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,11.0,10.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,9.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,12.0,8.0,6.0,13.0,9.0,8.0,10.0,8.0,6.0,10.0,13.0,12.0,6.0,10.0,9.0,9.0,8.0,9.0,0.0,0.0,12.0,9.0,9.0,5.0,9.0,6.0,9.0,10.0,9.0,9.0,7.0,10.0,12.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,14.0,9.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,0.0,14.0,10.0,0.0,12.0,11.0,14.0,11.0,12.0,0.0,10.0,13.0,11.0,12.0,13.0,10.0,9.0,,10.0,9.0,6.0,9.0,8.0,11.0,6.0,,0.0,9.0,9.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,7.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,6.0,9.0,12.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,14.0,12.0,9.0,0.0,8.0,9.0,9.0,7.0,7.0
2013,13.0,9.0,6.0,12.0,9.0,10.0,12.0,13.0,12.0,11.0,11.0,10.0,9.0,0.0,12.0,6.0,10.0,5.0,10.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,14.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,11.0,10.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,9.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,12.0,8.0,6.0,11.0,9.0,8.0,10.0,9.0,6.0,10.0,13.0,12.0,6.0,10.0,9.0,9.0,12.0,9.0,0.0,9.0,12.0,9.0,9.0,5.0,10.0,6.0,9.0,10.0,9.0,9.0,7.0,10.0,12.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,14.0,9.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,0.0,14.0,10.0,0.0,12.0,11.0,14.0,11.0,12.0,0.0,10.0,13.0,11.0,12.0,13.0,10.0,9.0,,10.0,11.0,6.0,9.0,8.0,11.0,6.0,,0.0,9.0,12.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,7.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,6.0,9.0,12.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,14.0,12.0,9.0,0.0,8.0,9.0,9.0,7.0,7.0
2014,13.0,9.0,6.0,12.0,9.0,10.0,12.0,13.0,12.0,11.0,11.0,10.0,9.0,0.0,12.0,6.0,10.0,5.0,10.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,14.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,11.0,10.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,9.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,12.0,8.0,6.0,11.0,9.0,8.0,10.0,9.0,6.0,10.0,13.0,12.0,6.0,10.0,9.0,9.0,12.0,10.0,0.0,9.0,12.0,9.0,9.0,5.0,10.0,6.0,9.0,10.0,9.0,9.0,7.0,10.0,12.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,14.0,9.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,0.0,14.0,10.0,0.0,12.0,11.0,14.0,11.0,12.0,0.0,10.0,13.0,12.0,12.0,13.0,10.0,9.0,,10.0,11.0,6.0,9.0,8.0,11.0,6.0,,0.0,9.0,15.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,7.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,12.0,9.0,15.0,7.0,9.0,12.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,14.0,12.0,9.0,0.0,8.0,9.0,9.0,7.0,7.0
2015,13.0,9.0,6.0,12.0,9.0,10.0,12.0,14.0,12.0,11.0,11.0,10.0,9.0,0.0,12.0,6.0,10.0,5.0,10.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,14.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,12.0,12.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,12.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,12.0,8.0,6.0,13.0,9.0,8.0,10.0,9.0,6.0,10.0,13.0,12.0,6.0,10.0,9.0,9.0,12.0,10.0,0.0,9.0,12.0,9.0,9.0,5.0,10.0,6.0,9.0,10.0,9.0,9.0,7.0,10.0,12.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,14.0,13.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,9.0,14.0,10.0,10.0,12.0,11.0,14.0,11.0,12.0,0.0,10.0,13.0,12.0,12.0,13.0,10.0,9.0,,10.0,11.0,6.0,9.0,8.0,11.0,6.0,,0.0,9.0,15.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,7.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,12.0,9.0,15.0,7.0,9.0,12.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,14.0,12.0,10.0,0.0,8.0,9.0,9.0,7.0,7.0
2016,13.0,9.0,10.0,12.0,9.0,10.0,12.0,14.0,12.0,11.0,11.0,10.0,9.0,0.0,12.0,6.0,10.0,5.0,10.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,14.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,12.0,12.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,9.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,12.0,8.0,10.0,9.0,8.0,10.0,0.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,12.0,8.0,6.0,13.0,9.0,8.0,10.0,9.0,6.0,10.0,15.0,12.0,6.0,10.0,9.0,9.0,12.0,10.0,0.0,9.0,12.0,9.0,9.0,9.0,10.0,6.0,9.0,10.0,9.0,11.0,7.0,10.0,12.0,11.0,10.0,9.0,11.0,9.0,5.0,7.0,14.0,13.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,9.0,14.0,10.0,10.0,12.0,11.0,14.0,11.0,12.0,0.0,10.0,13.0,12.0,12.0,13.0,10.0,9.0,,10.0,11.0,6.0,9.0,8.0,11.0,6.0,,0.0,9.0,15.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,7.0,14.0,11.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,12.0,9.0,15.0,7.0,9.0,12.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,14.0,12.0,10.0,0.0,8.0,9.0,9.0,7.0,7.0
2017,13.0,9.0,10.0,12.0,9.0,10.0,12.0,14.0,12.0,11.0,11.0,13.0,9.0,0.0,12.0,6.0,10.0,5.0,11.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,14.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,12.0,12.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,10.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,12.0,8.0,10.0,9.0,8.0,10.0,0.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,,6.0,9.0,12.0,8.0,6.0,13.0,9.0,8.0,10.0,9.0,6.0,10.0,15.0,12.0,6.0,10.0,9.0,9.0,12.0,10.0,0.0,9.0,12.0,9.0,9.0,9.0,10.0,6.0,9.0,10.0,9.0,11.0,7.0,11.0,12.0,11.0,10.0,9.0,11.0,13.0,5.0,7.0,14.0,13.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,,11.0,8.0,6.0,7.0,,0.0,,9.0,7.0,11.0,13.0,10.0,9.0,14.0,10.0,10.0,12.0,11.0,14.0,11.0,12.0,0.0,10.0,13.0,12.0,12.0,13.0,10.0,9.0,,10.0,11.0,6.0,9.0,8.0,11.0,6.0,,0.0,9.0,15.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,7.0,14.0,11.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,12.0,9.0,15.0,7.0,9.0,12.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,17.0,12.0,10.0,0.0,8.0,9.0,9.0,7.0,7.0
2018,13.0,9.0,10.0,12.0,9.0,10.0,12.0,14.0,12.0,11.0,11.0,13.0,9.0,0.0,12.0,6.0,10.0,5.0,11.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,14.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,12.0,12.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,10.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,12.0,8.0,10.0,9.0,8.0,10.0,0.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,0.0,6.0,9.0,12.0,8.0,6.0,13.0,9.0,8.0,10.0,9.0,6.0,10.0,15.0,12.0,6.0,10.0,9.0,9.0,12.0,10.0,0.0,9.0,12.0,9.0,9.0,9.0,10.0,6.0,9.0,10.0,9.0,11.0,7.0,11.0,12.0,11.0,10.0,9.0,11.0,13.0,5.0,7.0,14.0,13.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,0.0,11.0,8.0,6.0,7.0,0.0,0.0,0.0,9.0,7.0,11.0,13.0,10.0,9.0,14.0,10.0,10.0,12.0,11.0,14.0,13.0,12.0,0.0,10.0,13.0,12.0,12.0,13.0,10.0,9.0,0.0,10.0,11.0,6.0,9.0,8.0,11.0,6.0,0.0,0.0,9.0,15.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,9.0,7.0,14.0,11.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,12.0,9.0,15.0,7.0,9.0,12.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,17.0,12.0,10.0,0.0,8.0,9.0,9.0,7.0,7.0
2019,13.0,9.0,10.0,12.0,9.0,10.0,12.0,14.0,12.0,11.0,11.0,13.0,9.0,0.0,12.0,6.0,10.0,5.0,11.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,14.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,12.0,12.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,10.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,12.0,8.0,10.0,9.0,8.0,10.0,0.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,0.0,6.0,9.0,12.0,8.0,6.0,13.0,9.0,8.0,10.0,9.0,6.0,10.0,15.0,12.0,6.0,10.0,9.0,9.0,12.0,10.0,0.0,9.0,12.0,9.0,9.0,9.0,10.0,6.0,9.0,10.0,9.0,11.0,7.0,11.0,12.0,11.0,10.0,9.0,11.0,13.0,5.0,7.0,14.0,13.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,0.0,11.0,8.0,6.0,7.0,0.0,0.0,0.0,9.0,7.0,11.0,13.0,10.0,9.0,14.0,10.0,10.0,12.0,11.0,14.0,13.0,12.0,0.0,10.0,13.0,12.0,12.0,13.0,10.0,9.0,0.0,10.0,11.0,6.0,9.0,8.0,11.0,6.0,0.0,0.0,9.0,15.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,10.0,7.0,14.0,11.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,12.0,9.0,15.0,7.0,9.0,12.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,17.0,12.0,10.0,0.0,8.0,9.0,9.0,7.0,7.0
2020,13.0,9.0,10.0,12.0,9.0,10.0,12.0,14.0,12.0,11.0,11.0,13.0,9.0,0.0,12.0,6.0,10.0,5.0,11.0,9.0,12.0,9.0,9.0,8.0,13.0,14.0,14.0,11.0,9.0,0.0,0.0,10.0,10.0,11.0,12.0,9.0,10.0,6.0,6.0,10.0,12.0,12.0,6.0,10.0,13.0,9.0,14.0,12.0,10.0,10.0,13.0,10.0,12.0,10.0,15.0,10.0,15.0,12.0,8.0,10.0,9.0,8.0,10.0,0.0,13.0,8.0,10.0,11.0,9.0,11.0,10.0,6.0,9.0,9.0,6.0,10.0,12.0,16.0,0.0,6.0,9.0,12.0,8.0,6.0,13.0,9.0,8.0,10.0,9.0,6.0,10.0,15.0,12.0,6.0,10.0,9.0,9.0,12.0,10.0,0.0,9.0,12.0,9.0,9.0,9.0,10.0,6.0,9.0,10.0,9.0,11.0,7.0,11.0,12.0,11.0,10.0,9.0,11.0,13.0,5.0,7.0,14.0,13.0,13.0,9.0,11.0,5.0,9.0,12.0,0.0,9.0,12.0,0.0,11.0,8.0,6.0,7.0,0.0,0.0,0.0,9.0,7.0,11.0,13.0,10.0,9.0,14.0,10.0,10.0,12.0,11.0,14.0,13.0,12.0,0.0,9.0,13.0,12.0,12.0,13.0,10.0,9.0,0.0,10.0,11.0,6.0,9.0,8.0,11.0,6.0,0.0,0.0,9.0,15.0,10.0,0.0,8.0,8.0,6.0,6.0,10.0,9.0,10.0,7.0,14.0,11.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,12.0,9.0,15.0,7.0,9.0,12.0,8.0,7.0,7.0,11.0,14.0,12.0,12.0,12.0,17.0,12.0,10.0,0.0,8.0,9.0,9.0,7.0,7.0
