Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1970,,84700.0,,,,2332000.0,,,,7318700.0,511400.0,,,1366200.0,29500.0,30100.0,,988900.0,241000.0,,,,,244000.0,3339800.0,,,,,69500.0,10180300.0,3397400.0,574700.0,,108700.0,65800.0,305000.0,55800.0,3010200.0,,,255900.0,873500.0,106500.0,1171900.0,6498000.0,,1775300.0,128800.0,563200.0,419500.0,542500.0,,6347400.0,,231600.0,1279500.0,,9108000.0,120200.0,15568800.0,,116700.0,48900.0,,,,1614700.0,112500.0,,17800.0,,295600.0,,10400.0,282300.0,826400.0,2671600.0,1476300.0,715600.0,197700.0,457900.0,485000.0,6743700.0,278700.0,118800.0,16315100.0,,171500.0,,40500.0,,1208100.0,315200.0,55900.0,548600.0,,190200.0,104600.0,,,167000.0,,,289500.0,,,168000.0,,2966600.0,,,39200.0,127800.0,345800.0,,,,84500.0,23000.0,51700.0,748900.0,,54700.0,173000.0,107100.0,2881100.0,2412300.0,203400.0,,1862000.0,,310441400.0,1335900.0,307400.0,390500.0,2369000.0,,904000.0,165000.0,1415400.0,80600.0,,452500.0,,,558000.0,124700.0,85100.0,748900.0,,,138200.0,25700.0,,,,,,2550000.0,,,139000.0,55400.0,29900.0,764200.0,,,,361100.0,244800.0,1035700.0,171400.0,171500.0,,219300.0,163449000.0,,1253300.0,1525600.0,,,25900.0,1519000.0,187800.0,267400.0
1971,,97400.0,,,,2218600.0,,,,7326600.0,582100.0,,,1402000.0,31000.0,31600.0,,985200.0,280000.0,,,,,331100.0,3911000.0,11500.0,,,,71800.0,10247300.0,3926200.0,690600.0,,51000.0,108500.0,325900.0,58600.0,2959700.0,,,280400.0,979200.0,150200.0,1092500.0,7029200.0,,2056800.0,182700.0,714800.0,457500.0,515400.0,,7505400.0,,263100.0,1394800.0,,9569200.0,125500.0,15796000.0,,135600.0,49000.0,,,8500.0,2021400.0,101100.0,,18700.0,,269900.0,,10600.0,268200.0,994500.0,2554000.0,1544200.0,761400.0,235600.0,494100.0,1057400.0,7644100.0,425400.0,119600.0,17880500.0,,188000.0,,107000.0,,1463600.0,342200.0,42000.0,648000.0,,259400.0,116000.0,,,250000.0,,,362000.0,,,197700.0,,3107300.0,,,39000.0,110800.0,380500.0,,,,68400.0,24200.0,66100.0,875100.0,,56700.0,227100.0,137500.0,3012300.0,2791600.0,217900.0,,1923800.0,,331604900.0,1085600.0,337200.0,263700.0,2070900.0,,1031200.0,166000.0,1656100.0,84300.0,,429400.0,,,513600.0,139500.0,89400.0,875100.0,,,146000.0,29800.0,,,,,,2913800.0,,,145300.0,55000.0,31400.0,713100.0,,,,362400.0,308900.0,1476000.0,188000.0,188000.0,,221300.0,174143100.0,,1301600.0,1051300.0,,,54500.0,1659500.0,214200.0,291300.0
1972,,104900.0,,,,2358500.0,,,,7795600.0,706600.0,,,1457700.0,25900.0,26500.0,,1025000.0,320000.0,,,,,379000.0,4671400.0,19700.0,,,,68900.0,11628500.0,4054100.0,730000.0,,47900.0,130000.0,327800.0,54900.0,2963600.0,,,307300.0,988300.0,201000.0,1364400.0,7919100.0,,2284900.0,191500.0,843900.0,437800.0,623100.0,,8654900.0,,288500.0,1535800.0,,11285100.0,122800.0,17308500.0,,131700.0,51000.0,,,9000.0,2412600.0,98000.0,,19000.0,,240600.0,,11000.0,266300.0,1286800.0,3285800.0,1408800.0,894800.0,186200.0,545800.0,1137100.0,7462200.0,554900.0,119900.0,20169500.0,,216800.0,,136200.0,,1640000.0,390700.0,43000.0,743800.0,,327200.0,116000.0,,,211300.0,,,410300.0,,,201100.0,,3962000.0,,,44000.0,102100.0,393000.0,,,,65900.0,25200.0,74700.0,1015600.0,,52900.0,286800.0,144000.0,3275800.0,3101600.0,232000.0,,2084300.0,,,625200.0,316200.0,525300.0,2123900.0,,1267000.0,,1949800.0,53700.0,,488800.0,,,762000.0,133400.0,88900.0,976100.0,,,140000.0,31400.0,,,,,,3014000.0,,,235700.0,50900.0,27700.0,785600.0,,,,319900.0,375100.0,1774500.0,196900.0,165500.0,,136000.0,191325400.0,,1511000.0,854400.0,,,57000.0,1868100.0,230100.0,315000.0
1973,,96600.0,,,,2312700.0,,,,9384600.0,830900.0,,,1562900.0,28100.0,28700.0,490000.0,1085000.0,350000.0,,,,,375700.0,5842400.0,23700.0,,,,74100.0,14626800.0,4514400.0,636200.0,,51600.0,211300.0,363700.0,58600.0,3147300.0,,,314400.0,805500.0,233100.0,1367000.0,7371300.0,,2409000.0,150000.0,1053600.0,380200.0,656300.0,,9964000.0,,309200.0,1697500.0,257100.0,11957500.0,130300.0,18959700.0,,135600.0,54500.0,,,9500.0,2802600.0,43000.0,,20000.0,,280400.0,,11500.0,330000.0,1787400.0,3391600.0,1496300.0,1141600.0,208800.0,592800.0,1163500.0,8189900.0,568500.0,162300.0,25393100.0,,340800.0,,140000.0,,2213400.0,453600.0,44500.0,819000.0,,352000.0,108500.0,,,218100.0,,,486500.0,,,217800.0,,4589600.0,,,46900.0,140600.0,405000.0,,,,72700.0,24000.0,90400.0,1864400.0,,57600.0,314100.0,77500.0,3682400.0,3342600.0,250000.0,,2544400.0,,401571800.0,805200.0,217500.0,590000.0,2349600.0,,1491000.0,,2247100.0,59600.0,,611800.0,,,968300.0,221500.0,94600.0,1248900.0,,,147000.0,33000.0,,,,,,3225900.0,14000.0,,184700.0,55100.0,30000.0,1021000.0,,,,324700.0,485600.0,2222800.0,256800.0,52400.0,,137700.0,202309200.0,,1765900.0,664700.0,,,61500.0,2313800.0,230600.0,340000.0
1974,,96100.0,,,127500.0,2943500.0,,,,10664700.0,840800.0,,,1606700.0,31500.0,32500.0,431400.0,1130000.0,127500.0,,,,,475000.0,6855500.0,25600.0,,,,79500.0,16367500.0,4575000.0,505200.0,710000.0,56500.0,228200.0,464100.0,63500.0,3118000.0,,,374300.0,689200.0,125700.0,1514700.0,8886900.0,,2401900.0,160000.0,1252100.0,362200.0,837000.0,,10198100.0,,268700.0,1884600.0,296200.0,12159300.0,136200.0,18062600.0,,148200.0,56900.0,,,10000.0,2304600.0,88800.0,,22000.0,,315800.0,,0.0,456500.0,2219700.0,3037300.0,1474600.0,1361900.0,290900.0,611200.0,1214300.0,8631400.0,743300.0,243400.0,27485700.0,,382800.0,,129000.0,,1923800.0,517900.0,45000.0,1037300.0,25000.0,408000.0,107700.0,10000.0,,220600.0,,,509600.0,,,230700.0,,5501500.0,,,49800.0,152500.0,388300.0,,,,78300.0,28000.0,98300.0,2331900.0,,63500.0,430300.0,81000.0,3627100.0,3367500.0,263000.0,,2961300.0,127500.0,421145200.0,1047700.0,275700.0,1116900.0,2525100.0,,1086800.0,,2250400.0,61000.0,127500.0,674400.0,,,1282500.0,244700.0,102500.0,1508500.0,,,155000.0,35000.0,,,,,,3350300.0,14000.0,,284300.0,59500.0,33800.0,1261000.0,,,,335700.0,629600.0,1795100.0,282900.0,62700.0,,346200.0,207612400.0,,1981500.0,552600.0,,,66500.0,2763600.0,240600.0,
1975,,99000.0,,,173000.0,3299200.0,,,,11055100.0,912100.0,,,1585200.0,35000.0,36200.0,490500.0,1150000.0,173000.0,232000.0,,,,652500.0,7772900.0,32600.0,,,,88000.0,16712900.0,4691800.0,509700.0,1000000.0,95000.0,239000.0,445000.0,69000.0,3376100.0,,,371800.0,711100.0,135800.0,1621000.0,9369200.0,,2518100.0,302100.0,1618000.0,448100.0,916900.0,,10959100.0,,244300.0,2048300.0,300000.0,13112800.0,139700.0,18074900.0,,153800.0,65000.0,,,10500.0,2832600.0,113500.0,,24000.0,,298600.0,,0.0,414100.0,2527500.0,3839900.0,1475700.0,1949400.0,387600.0,590200.0,1053700.0,8360600.0,696800.0,379900.0,27281400.0,,361500.0,,112500.0,,2046700.0,624800.0,45000.0,900000.0,25500.0,558000.0,117300.0,10000.0,,230000.0,,,672900.0,,,203100.0,7000.0,6522900.0,,,50500.0,205200.0,391300.0,,,119500.0,84500.0,30000.0,122400.0,2503600.0,,69000.0,590400.0,85000.0,3827700.0,3530400.0,219700.0,,3047400.0,173000.0,432276500.0,1451800.0,357100.0,1335200.0,2758400.0,355000.0,1454500.0,,1681300.0,64500.0,173000.0,613100.0,,,1835700.0,250000.0,110000.0,1814700.0,,23000.0,160000.0,35000.0,,,,,,3464700.0,14000.0,,370700.0,65500.0,37900.0,1616500.0,,,,595000.0,782000.0,1777800.0,271700.0,57600.0,,333600.0,204900400.0,,2355200.0,165000.0,,,70000.0,2936400.0,232600.0,
1976,,101700.0,155400.0,,240100.0,3293600.0,,,,10864300.0,1060800.0,,4000.0,1682000.0,40400.0,41900.0,453300.0,1370000.0,240100.0,245000.0,,,,744700.0,8799000.0,33700.0,,,,98400.0,16833100.0,5084900.0,489900.0,1050000.0,113700.0,296900.0,462800.0,77400.0,3730000.0,,53000.0,390500.0,716600.0,225300.0,1656800.0,10418600.0,,2795700.0,359300.0,1681600.0,463300.0,1112700.0,,11801100.0,,288000.0,2040400.0,313000.0,14301900.0,190400.0,19472900.0,,233500.0,65000.0,,,11000.0,3541000.0,119000.0,,26000.0,,288700.0,,0.0,427200.0,3103200.0,4534000.0,1578100.0,2499100.0,568000.0,601500.0,1299800.0,8238100.0,706500.0,475500.0,29566000.0,,449600.0,,112500.0,,2075200.0,737000.0,45000.0,1050000.0,26000.0,669900.0,127700.0,11000.0,,250000.0,,,808900.0,,,262000.0,10000.0,7675700.0,,,59400.0,221100.0,396000.0,,,248900.0,94400.0,33000.0,93700.0,2671000.0,,75400.0,800800.0,89000.0,4080900.0,3853500.0,248300.0,,3023200.0,240100.0,471773400.0,1947400.0,374100.0,1439200.0,2815700.0,405300.0,1472400.0,,1650300.0,66500.0,240100.0,912600.0,,,3268000.0,328300.0,120400.0,2132100.0,,26000.0,170000.0,38000.0,,,50000.0,,,3908900.0,14000.0,12000.0,448200.0,72400.0,43600.0,1633800.0,,,,683800.0,809300.0,2427300.0,310300.0,73800.0,,326900.0,223017300.0,,2708400.0,,,,262800.0,2998800.0,256800.0,
1977,,111200.0,282700.0,,299800.0,3884100.0,,,,11306500.0,1136600.0,,4500.0,1839400.0,45400.0,47200.0,470300.0,1400000.0,299800.0,252000.0,,,,862300.0,9514400.0,42300.0,,,,103400.0,17466400.0,5437100.0,589400.0,1110000.0,120400.0,346700.0,488100.0,85400.0,4117300.0,,55000.0,326800.0,634800.0,266300.0,1538100.0,10907500.0,,2946800.0,424800.0,1997100.0,528600.0,1282400.0,,13328200.0,,226100.0,1836300.0,305000.0,15431300.0,176700.0,19484500.0,,248800.0,66000.0,,,12000.0,3883900.0,137800.0,,27000.0,,324400.0,,0.0,555000.0,3781300.0,5147500.0,1675600.0,3005400.0,672400.0,645000.0,1454100.0,9424100.0,601800.0,557300.0,36177400.0,,237300.0,,112500.0,,2466500.0,812300.0,30000.0,928500.0,27000.0,801900.0,181000.0,11000.0,,260000.0,,,1047200.0,,,292200.0,13000.0,8238200.0,,,61400.0,255300.0,410000.0,,,225200.0,105400.0,30100.0,100300.0,2864700.0,,83400.0,1093900.0,110000.0,4452000.0,4192500.0,255000.0,,3198500.0,299800.0,513269280.0,2303700.0,347400.0,1425000.0,3021100.0,440000.0,1643200.0,165000.0,1833400.0,104600.0,299800.0,1077100.0,,,4705100.0,378500.0,128400.0,2497300.0,,27300.0,210600.0,34000.0,,,53000.0,,,3851800.0,15000.0,12000.0,410600.0,79400.0,48900.0,1331500.0,,,,591100.0,855500.0,2751700.0,85700.0,,,292900.0,240145000.0,,3500600.0,,,,275000.0,3076800.0,299400.0,
1978,,100400.0,308000.0,,374500.0,3946700.0,,,,12122300.0,1238900.0,,5000.0,1976500.0,52200.0,54700.0,544200.0,1500000.0,374500.0,268000.0,,,,1015600.0,10621300.0,50200.0,,,,117200.0,18472000.0,5686800.0,552700.0,1540000.0,132200.0,392700.0,569900.0,102200.0,4747100.0,,60000.0,321300.0,725500.0,315300.0,1680300.0,11709800.0,28000.0,3117200.0,429600.0,2229000.0,593300.0,1426300.0,,15369000.0,,185800.0,1993400.0,280000.0,16821200.0,170000.0,23186100.0,,309700.0,71000.0,,20000.0,12000.0,4670500.0,136300.0,,27000.0,,359800.0,,0.0,659000.0,4431100.0,6099600.0,1781300.0,3333500.0,675300.0,688000.0,1519700.0,9507000.0,705900.0,728400.0,40554700.0,,363300.0,,,,3099800.0,849500.0,12000.0,862900.0,29000.0,890600.0,100000.0,40000.0,,290000.0,,,1131700.0,,,335800.0,20000.0,9387700.0,,,57000.0,351600.0,425000.0,,,266400.0,117200.0,55000.0,106400.0,3096000.0,,94200.0,1441000.0,110000.0,4718300.0,4487400.0,270000.0,,3399500.0,374500.0,576090000.0,2656300.0,365700.0,1449000.0,3411600.0,532300.0,1702300.0,166000.0,2014400.0,111700.0,374500.0,1084600.0,,,6268100.0,176000.0,137200.0,2893200.0,,28500.0,225300.0,36000.0,,,120000.0,,,4360900.0,15500.0,12000.0,494700.0,90200.0,55700.0,1773800.0,,,,428100.0,963000.0,2221500.0,192200.0,,,259700.0,273025500.0,,4042700.0,,,,295000.0,3211200.0,317100.0,
1979,,93000.0,546100.0,,456500.0,5023500.0,,,,13022500.0,1301600.0,,5500.0,2042900.0,57300.0,59800.0,624200.0,1755000.0,456500.0,314000.0,,,,1225500.0,11856900.0,53900.0,,,10400.0,122300.0,20846400.0,5887400.0,558900.0,2519000.0,137300.0,402500.0,577700.0,113300.0,5052400.0,,65000.0,366000.0,819400.0,387500.0,1758600.0,12843900.0,29000.0,3556200.0,454600.0,2663400.0,632900.0,1689800.0,,15683000.0,,197400.0,2345800.0,310000.0,17967000.0,175000.0,25312100.0,,330400.0,72000.0,,20000.0,13000.0,5021100.0,156300.0,,27500.0,,414200.0,,0.0,830200.0,4656100.0,6546800.0,2022500.0,2168700.0,687800.0,694000.0,1584000.0,9462500.0,795300.0,914300.0,45367800.0,,377400.0,,,,3725900.0,965100.0,13000.0,904000.0,9400.0,913800.0,105300.0,52000.0,,300000.0,,,1153800.0,,,407500.0,25000.0,11381500.0,,,66000.0,382000.0,460000.0,,,273000.0,124300.0,82300.0,111700.0,3489500.0,,99300.0,1581300.0,145000.0,4918900.0,4866900.0,416500.0,,3807300.0,456500.0,648400600.0,2773100.0,381300.0,1686100.0,3474900.0,572300.0,1850400.0,184000.0,2264500.0,118500.0,456500.0,1119700.0,,,7689200.0,424000.0,142300.0,3377500.0,,28500.0,257800.0,36500.0,,,146400.0,,,5193400.0,30000.0,12000.0,433200.0,96300.0,60800.0,2088900.0,,,,659200.0,1088800.0,2458400.0,292300.0,,,456100.0,313624000.0,,4771700.0,,,,295000.0,3783700.0,295700.0,
1980,,76200.0,635200.0,,521500.0,5588500.0,,,,13648800.0,1284500.0,,11000.0,1974200.0,61100.0,72800.0,613700.0,1787500.0,521500.0,345000.0,,,,1342000.0,13008100.0,45500.0,,,39000.0,136100.0,22453000.0,5930100.0,668800.0,2568000.0,151100.0,480000.0,439200.0,117100.0,4808200.0,,75000.0,431200.0,675600.0,440800.0,1460800.0,13046400.0,62500.0,3329700.0,466300.0,2950000.0,701000.0,2027700.0,,15089000.0,,242900.0,2512200.0,322000.0,19521000.0,331100.0,25551200.0,,279000.0,80000.0,,22200.0,13300.0,4891300.0,118900.0,,27500.0,,507800.0,,0.0,874300.0,5059100.0,6603100.0,1830200.0,1998100.0,619900.0,541500.0,1483300.0,9955800.0,722700.0,1112600.0,45144500.0,,392500.0,,,,3566600.0,1076200.0,13000.0,930300.0,10600.0,1168800.0,235000.0,36300.0,,161500.0,,,947400.0,44000.0,,447700.0,27000.0,12889800.0,,,71000.0,401500.0,481000.0,,,282200.0,141100.0,83700.0,94000.0,4516400.0,,111100.0,1938500.0,115000.0,4983800.0,4804400.0,379900.0,,3497500.0,521500.0,641872900.0,3029200.0,355200.0,1980100.0,3245600.0,558600.0,1710500.0,192200.0,1978100.0,129000.0,521500.0,1112100.0,,,9241200.0,519000.0,113100.0,3826900.0,42400.0,30000.0,264600.0,90000.0,,,144000.0,,,5209400.0,31000.0,15000.0,465000.0,106100.0,64600.0,2459000.0,,,,877200.0,978200.0,1253700.0,387600.0,82600.0,,477600.0,295329100.0,,5133300.0,6000.0,,,310000.0,4116000.0,257400.0,412300.0
1981,,129100.0,801100.0,,577800.0,4890100.0,,,389000.0,13219500.0,1358100.0,,5000.0,2053000.0,74800.0,75800.0,591400.0,1787000.0,577800.0,740000.0,,,,1220300.0,12594600.0,60800.0,,,50000.0,129100.0,22097100.0,6220600.0,885700.0,3236000.0,379100.0,485500.0,492600.0,154100.0,4570100.0,,103100.0,427600.0,650700.0,455000.0,955000.0,12964400.0,88700.0,3065000.0,440300.0,3000000.0,691700.0,2232600.0,,14601800.0,,327600.0,2751100.0,319300.0,21591200.0,340000.0,24578700.0,,288800.0,128000.0,,22200.0,13300.0,4900700.0,124400.0,,81500.0,,410600.0,,0.0,1017000.0,6098100.0,7574500.0,1978600.0,1539700.0,457000.0,522100.0,1585200.0,10493300.0,727800.0,1443300.0,48061200.0,,408700.0,,,59000.0,4186700.0,1252500.0,14500.0,843800.0,30400.0,1486000.0,405200.0,36600.0,,163200.0,,,929600.0,44000.0,,444900.0,33800.0,13853300.0,,,71000.0,397900.0,500000.0,,,291500.0,144100.0,102200.0,107600.0,5347700.0,,114100.0,2300200.0,97000.0,5058000.0,4979400.0,364500.0,,3316100.0,577800.0,640619400.0,3096800.0,309200.0,1777100.0,3542700.0,553500.0,1592800.0,184400.0,2168500.0,127000.0,577800.0,1079700.0,,9700.0,9146900.0,465300.0,116100.0,4405400.0,46200.0,30200.0,241800.0,115800.0,,,144000.0,,,5632000.0,28800.0,15000.0,515500.0,80100.0,67600.0,2834600.0,,,,1301500.0,1140900.0,2071300.0,324800.0,62600.0,,412600.0,281086400.0,,5147000.0,27000.0,,,310000.0,4159800.0,278300.0,535200.0
1982,,181000.0,890500.0,,569800.0,4595900.0,,,376800.0,13187900.0,1447600.0,,5500.0,2000800.0,78300.0,78200.0,621500.0,1675000.0,569800.0,724000.0,,,,1160100.0,13168300.0,43800.0,,,46700.0,112300.0,19653800.0,6252200.0,822400.0,3942000.0,382300.0,634000.0,377700.0,158300.0,6701500.0,,104000.0,458600.0,135000.0,454300.0,852600.0,12755000.0,93000.0,3536900.0,413900.0,3150000.0,676300.0,2433200.0,,14637600.0,,335300.0,2815100.0,330000.0,22372400.0,421000.0,23872500.0,,230000.0,131000.0,,20600.0,13300.0,5633900.0,114600.0,,93000.0,,377000.0,,0.0,1020700.0,6028700.0,8391700.0,1949100.0,2127800.0,480600.0,574300.0,1480800.0,11611000.0,729600.0,1667300.0,46394200.0,,391300.0,,,60000.0,4201500.0,1460700.0,14700.0,571000.0,40900.0,1557800.0,572700.0,54800.0,,203700.0,,,974100.0,44000.0,,410200.0,34000.0,12777300.0,,,79000.0,401700.0,515000.0,,,391100.0,147300.0,106400.0,130300.0,5241700.0,,116300.0,2138400.0,100000.0,5201900.0,5210400.0,400200.0,,3073900.0,569800.0,654482100.0,3328800.0,332200.0,1739700.0,3866900.0,560400.0,755500.0,185000.0,2272200.0,167000.0,569800.0,919400.0,,25900.0,10151800.0,477600.0,118300.0,4591500.0,51100.0,34000.0,254800.0,99300.0,,,107000.0,,,6091100.0,24400.0,65100.0,466400.0,82800.0,69800.0,3154900.0,,,,1380700.0,1209100.0,2094600.0,401700.0,62200.0,,356500.0,290992600.0,,5667200.0,27000.0,16800.0,,352100.0,4091200.0,253100.0,448600.0
1983,,200200.0,952500.0,,601800.0,4399600.0,,,385000.0,12601500.0,1498400.0,,6000.0,1956600.0,79500.0,93200.0,623000.0,1790000.0,601800.0,699000.0,,,,1299000.0,12605900.0,34500.0,,,50300.0,114400.0,18107900.0,6266800.0,651900.0,3836000.0,388500.0,631000.0,330700.0,216900.0,6583900.0,,122200.0,379600.0,839400.0,485300.0,908400.0,13099900.0,110000.0,3947700.0,446700.0,3410500.0,618000.0,2617700.0,,14538000.0,,357500.0,2797300.0,309300.0,23278100.0,428300.0,23376200.0,,271400.0,129200.0,,21000.0,13300.0,5811800.0,99500.0,,93000.0,,435900.0,,0.0,957300.0,5567500.0,9164800.0,1780800.0,3190900.0,454000.0,601400.0,1578700.0,11996600.0,716300.0,1457300.0,46554000.0,,435500.0,,,60000.0,4861500.0,1534500.0,14000.0,695800.0,44000.0,1860000.0,616500.0,61000.0,,224100.0,,,932200.0,44000.0,,347300.0,38000.0,13923500.0,,,77000.0,366300.0,517000.0,,,404700.0,148500.0,122900.0,96900.0,5360900.0,,117500.0,2221300.0,95000.0,5278900.0,5610800.0,363700.0,,3222000.0,601800.0,685101600.0,3466900.0,323400.0,1698200.0,4319800.0,533800.0,1287000.0,196000.0,2218400.0,163500.0,601800.0,998600.0,,4400.0,10670300.0,473000.0,124500.0,4531600.0,54600.0,26400.0,265500.0,117200.0,,,106000.0,,,6590800.0,29000.0,65100.0,486600.0,84500.0,71000.0,3357000.0,,,,1344700.0,1258100.0,2233600.0,407100.0,75100.0,,310400.0,315600100.0,,5000200.0,11500.0,24600.0,,465900.0,3951800.0,236700.0,449200.0
1984,,220400.0,689600.0,,674200.0,5163600.0,,,420000.0,13236800.0,1514000.0,,8800.0,2031600.0,80400.0,93400.0,741800.0,1950000.0,674200.0,705900.0,,,,1359500.0,12948400.0,55000.0,184400.0,,54500.0,117700.0,19382600.0,6254500.0,730800.0,5000000.0,397700.0,676500.0,338000.0,227700.0,5737400.0,27000.0,127000.0,322500.0,839100.0,563000.0,910700.0,14051800.0,115000.0,3229200.0,605000.0,3781000.0,634000.0,2786200.0,,14283900.0,,398800.0,2991300.0,324800.0,23694300.0,436100.0,25825700.0,,261000.0,132000.0,,21900.0,13400.0,6878400.0,124000.0,,100000.0,,439500.0,,0.0,1038500.0,6494300.0,10125700.0,1838500.0,4087800.0,435000.0,710100.0,1669400.0,12593600.0,826000.0,1327600.0,50452800.0,,479200.0,,,65500.0,5353300.0,1497900.0,15700.0,410700.0,50000.0,1583800.0,681300.0,48700.0,,243200.0,,,1000700.0,73200.0,,360000.0,40000.0,14440200.0,,,70000.0,364100.0,487000.0,,,325200.0,201700.0,155000.0,127000.0,5685400.0,,117700.0,1945900.0,85000.0,5654900.0,6113900.0,395500.0,,3764900.0,674200.0,732410300.0,3641900.0,371600.0,1616800.0,4394000.0,711400.0,1595900.0,197500.0,2311800.0,179000.0,674200.0,1163400.0,,4600.0,11365800.0,485000.0,126300.0,4791800.0,63700.0,56000.0,360200.0,130000.0,,,117000.0,,,7335200.0,34300.0,113000.0,464400.0,87700.0,71700.0,3671300.0,,,7800.0,1398000.0,1254900.0,2575400.0,498500.0,49500.0,,338100.0,340191500.0,,4570800.0,74000.0,16700.0,,455800.0,4461400.0,245600.0,440700.0
1985,,225500.0,894200.0,,717500.0,4713200.0,,,500000.0,14412100.0,1708000.0,,8600.0,2188400.0,86000.0,100200.0,845300.0,2090000.0,717500.0,860500.0,,,,1343300.0,13402900.0,32400.0,198900.0,,58900.0,123500.0,19688400.0,6506200.0,825200.0,7300000.0,182700.0,718000.0,131500.0,248500.0,5737300.0,32800.0,128200.0,310000.0,894400.0,613400.0,980300.0,14551300.0,119000.0,3494000.0,733600.0,3965900.0,664200.0,2786200.0,,14850700.0,,471200.0,3153300.0,320200.0,24491900.0,456000.0,28229400.0,,252600.0,136000.0,,22500.0,13700.0,7456600.0,108400.0,,104000.0,,451000.0,,0.0,1116100.0,6468100.0,10993800.0,1828800.0,3422000.0,540000.0,778000.0,1802700.0,14408000.0,887600.0,1310200.0,51294700.0,,558700.0,,,26400.0,6202500.0,1449200.0,15800.0,501300.0,42000.0,1579300.0,698600.0,50700.0,,239400.0,,,1113900.0,73800.0,,350800.0,60000.0,15364400.0,,,61000.0,384100.0,509000.0,,,207700.0,213800.0,182800.0,140400.0,5687000.0,,73500.0,2575000.0,90000.0,6027700.0,6799700.0,422000.0,,4158600.0,717500.0,783198100.0,3839400.0,390300.0,1563900.0,4610400.0,700900.0,1587000.0,202000.0,2315200.0,212000.0,717500.0,1215800.0,,4800.0,10795100.0,428000.0,132100.0,4912300.0,66000.0,58000.0,395000.0,99800.0,,9500.0,108000.0,,,7609600.0,39400.0,185000.0,475800.0,93500.0,77500.0,4065900.0,,,8000.0,1299500.0,1281600.0,2508000.0,450900.0,35300.0,,328500.0,372059100.0,,4966500.0,84000.0,14400.0,,426200.0,4337300.0,253900.0,453100.0
